Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Asia,Afghanistan,Wine,Imports, 2 021,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 021,1000 hl,0
Europe,Albania,Wine,Consumption, 2 007,1000 hl,201
Europe,Albania,Wine,Exports, 2 007,1000 hl,0
Europe,Albania,Wine,Imports, 2 007,1000 hl,23
Europe,Albania,Wine,Production, 2 007,1000 hl,178
Europe,Albania,Wine,Consumption, 2 008,1000 hl,185
Europe,Albania,Wine,Exports, 2 008,1000 hl,0
Europe,Albania,Wine,Imports, 2 008,1000 hl,24
Europe,Albania,Wine,Production, 2 008,1000 hl,161
Europe,Albania,Wine,Consumption, 2 009,1000 hl,200
Europe,Albania,Wine,Exports, 2 009,1000 hl,0
Europe,Albania,Wine,Imports, 2 009,1000 hl,25
Europe,Albania,Wine,Production, 2 009,1000 hl,175
Europe,Albania,Wine,Consumption, 2 010,1000 hl,206
Europe,Albania,Wine,Exports, 2 010,1000 hl,0
Europe,Albania,Wine,Imports, 2 010,1000 hl,25
Europe,Albania,Wine,Production, 2 010,1000 hl,181
Europe,Albania,Wine,Consumption, 2 011,1000 hl,207
Europe,Albania,Wine,Exports, 2 011,1000 hl,0
Europe,Albania,Wine,Imports, 2 011,1000 hl,27
Europe,Albania,Wine,Production, 2 011,1000 hl,180
Europe,Albania,Wine,Consumption, 2 012,1000 hl,216
Europe,Albania,Wine,Exports, 2 012,1000 hl,0
Europe,Albania,Wine,Imports, 2 012,1000 hl,26
Europe,Albania,Wine,Production, 2 012,1000 hl,190
Europe,Albania,Wine,Consumption, 2 013,1000 hl,209
Europe,Albania,Wine,Exports, 2 013,1000 hl,0
Europe,Albania,Wine,Imports, 2 013,1000 hl,22
Europe,Albania,Wine,Production, 2 013,1000 hl,180
Europe,Albania,Wine,Consumption, 2 014,1000 hl,196
Europe,Albania,Wine,Exports, 2 014,1000 hl,0
Europe,Albania,Wine,Imports, 2 014,1000 hl,16
Europe,Albania,Wine,Production, 2 014,1000 hl,175
Europe,Albania,Wine,Consumption, 2 015,1000 hl,219
Europe,Albania,Wine,Exports, 2 015,1000 hl,0
Europe,Albania,Wine,Imports, 2 015,1000 hl,84
Europe,Albania,Wine,Production, 2 015,1000 hl,164
Europe,Albania,Wine,Consumption, 2 016,1000 hl,233
Europe,Albania,Wine,Exports, 2 016,1000 hl,0
Europe,Albania,Wine,Imports, 2 016,1000 hl,41
Europe,Albania,Wine,Production, 2 016,1000 hl,178
Europe,Albania,Wine,Consumption, 2 017,1000 hl,217
Europe,Albania,Wine,Exports, 2 017,1000 hl,0
Europe,Albania,Wine,Imports, 2 017,1000 hl,47
Europe,Albania,Wine,Production, 2 017,1000 hl,169
Europe,Albania,Wine,Consumption, 2 018,1000 hl,207
Europe,Albania,Wine,Exports, 2 018,1000 hl,0
Europe,Albania,Wine,Imports, 2 018,1000 hl,46
Europe,Albania,Wine,Production, 2 018,1000 hl,153
Europe,Albania,Wine,Consumption, 2 019,1000 hl,217
Europe,Albania,Wine,Exports, 2 019,1000 hl,0
Europe,Albania,Wine,Imports, 2 019,1000 hl,49
Europe,Albania,Wine,Production, 2 019,1000 hl,187
Europe,Albania,Wine,Consumption, 2 020,1000 hl,234
Europe,Albania,Wine,Exports, 2 020,1000 hl,0
Europe,Albania,Wine,Imports, 2 020,1000 hl,41
Europe,Albania,Wine,Production, 2 020,1000 hl,192
Europe,Albania,Wine,Consumption, 2 021,1000 hl,291
Europe,Albania,Wine,Exports, 2 021,1000 hl,0
Europe,Albania,Wine,Imports, 2 021,1000 hl,55
Europe,Albania,Wine,Production, 2 021,1000 hl,295
Africa,Algeria,Wine,Consumption, 2 007,1000 hl,304
Africa,Algeria,Wine,Exports, 2 007,1000 hl,24
Africa,Algeria,Wine,Imports, 2 007,1000 hl,7
Africa,Algeria,Wine,Production, 2 007,1000 hl,520
Africa,Algeria,Wine,Consumption, 2 008,1000 hl,312
Africa,Algeria,Wine,Exports, 2 008,1000 hl,17
Africa,Algeria,Wine,Imports, 2 008,1000 hl,29
Africa,Algeria,Wine,Production, 2 008,1000 hl,500
Africa,Algeria,Wine,Consumption, 2 009,1000 hl,406
Africa,Algeria,Wine,Exports, 2 009,1000 hl,7
Africa,Algeria,Wine,Imports, 2 009,1000 hl,25
Africa,Algeria,Wine,Production, 2 009,1000 hl,588
Africa,Algeria,Wine,Consumption, 2 010,1000 hl,280
Africa,Algeria,Wine,Exports, 2 010,1000 hl,12
Africa,Algeria,Wine,Imports, 2 010,1000 hl,17
Africa,Algeria,Wine,Production, 2 010,1000 hl,475
Africa,Algeria,Wine,Consumption, 2 011,1000 hl,288
Africa,Algeria,Wine,Exports, 2 011,1000 hl,8
Africa,Algeria,Wine,Imports, 2 011,1000 hl,24
Africa,Algeria,Wine,Production, 2 011,1000 hl,480
Africa,Algeria,Wine,Consumption, 2 012,1000 hl,311
Africa,Algeria,Wine,Exports, 2 012,1000 hl,4
Africa,Algeria,Wine,Imports, 2 012,1000 hl,38
Africa,Algeria,Wine,Production, 2 012,1000 hl,492
Africa,Algeria,Wine,Consumption, 2 013,1000 hl,338
Africa,Algeria,Wine,Exports, 2 013,1000 hl,2
Africa,Algeria,Wine,Imports, 2 013,1000 hl,56
Africa,Algeria,Wine,Production, 2 013,1000 hl,498
Africa,Algeria,Wine,Consumption, 2 014,1000 hl,372
Africa,Algeria,Wine,Exports, 2 014,1000 hl,3
Africa,Algeria,Wine,Imports, 2 014,1000 hl,75
Africa,Algeria,Wine,Production, 2 014,1000 hl,126
Africa,Algeria,Wine,Consumption, 2 015,1000 hl,189
Africa,Algeria,Wine,Exports, 2 015,1000 hl,2
Africa,Algeria,Wine,Imports, 2 015,1000 hl,85
Africa,Algeria,Wine,Production, 2 015,1000 hl,96
Africa,Algeria,Wine,Consumption, 2 016,1000 hl,178
Africa,Algeria,Wine,Exports, 2 016,1000 hl,2
Africa,Algeria,Wine,Imports, 2 016,1000 hl,113
Africa,Algeria,Wine,Production, 2 016,1000 hl,66
Africa,Algeria,Wine,Consumption, 2 017,1000 hl,245
Africa,Algeria,Wine,Exports, 2 017,1000 hl,3
Africa,Algeria,Wine,Imports, 2 017,1000 hl,90
Africa,Algeria,Wine,Production, 2 017,1000 hl,227
Africa,Algeria,Wine,Consumption, 2 018,1000 hl,300
Africa,Algeria,Wine,Exports, 2 018,1000 hl,2
Africa,Algeria,Wine,Imports, 2 018,1000 hl,94
Africa,Algeria,Wine,Production, 2 018,1000 hl,193
Africa,Algeria,Wine,Consumption, 2 019,1000 hl,268
Africa,Algeria,Wine,Exports, 2 019,1000 hl,1
Africa,Algeria,Wine,Imports, 2 019,1000 hl,58
Africa,Algeria,Wine,Production, 2 019,1000 hl,193
Africa,Algeria,Wine,Consumption, 2 020,1000 hl,263
Africa,Algeria,Wine,Exports, 2 020,1000 hl,1
Africa,Algeria,Wine,Imports, 2 020,1000 hl,85
Africa,Algeria,Wine,Production, 2 020,1000 hl,193
Africa,Algeria,Wine,Consumption, 2 021,1000 hl,289
Africa,Algeria,Wine,Exports, 2 021,1000 hl,1
Africa,Algeria,Wine,Imports, 2 021,1000 hl,109
Africa,Algeria,Wine,Production, 2 021,1000 hl,193
Oceania,American Samoa,Wine,Consumption, 2 007,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 007,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 008,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 008,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 009,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 009,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 010,1000 hl,1
Oceania,American Samoa,Wine,Imports, 2 010,1000 hl,1
Oceania,American Samoa,Wine,Consumption, 2 011,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 011,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 012,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 012,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 013,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 013,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 014,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 014,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 015,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 015,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 016,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 016,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 017,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 017,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 018,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 018,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 019,1000 hl,0
Oceania,American Samoa,Wine,Imports, 2 019,1000 hl,0
Oceania,American Samoa,Wine,Consumption, 2 020,1000 hl,1
Oceania,American Samoa,Wine,Imports, 2 020,1000 hl,1
Oceania,American Samoa,Wine,Consumption, 2 021,1000 hl,1
Oceania,American Samoa,Wine,Imports, 2 021,1000 hl,0
Africa,Angola,Wine,Consumption, 2 007,1000 hl,1027
Africa,Angola,Wine,Exports, 2 007,1000 hl,0
Africa,Angola,Wine,Imports, 2 007,1000 hl,1028
Africa,Angola,Wine,Consumption, 2 008,1000 hl,1160
Africa,Angola,Wine,Exports, 2 008,1000 hl,0
Africa,Angola,Wine,Imports, 2 008,1000 hl,1160
Africa,Angola,Wine,Consumption, 2 009,1000 hl,798
Africa,Angola,Wine,Exports, 2 009,1000 hl,0
Africa,Angola,Wine,Imports, 2 009,1000 hl,798
Africa,Angola,Wine,Consumption, 2 010,1000 hl,868
Africa,Angola,Wine,Exports, 2 010,1000 hl,0
Africa,Angola,Wine,Imports, 2 010,1000 hl,868
Africa,Angola,Wine,Consumption, 2 011,1000 hl,908
Africa,Angola,Wine,Exports, 2 011,1000 hl,0
Africa,Angola,Wine,Imports, 2 011,1000 hl,948
Africa,Angola,Wine,Consumption, 2 012,1000 hl,990
Africa,Angola,Wine,Exports, 2 012,1000 hl,0
Africa,Angola,Wine,Imports, 2 012,1000 hl,1031
Africa,Angola,Wine,Consumption, 2 013,1000 hl,1017
Africa,Angola,Wine,Exports, 2 013,1000 hl,0
Africa,Angola,Wine,Imports, 2 013,1000 hl,1003
Africa,Angola,Wine,Consumption, 2 014,1000 hl,1344
Africa,Angola,Wine,Exports, 2 014,1000 hl,0
Africa,Angola,Wine,Imports, 2 014,1000 hl,1686
Africa,Angola,Wine,Consumption, 2 015,1000 hl,1350
Africa,Angola,Wine,Exports, 2 015,1000 hl,9
Africa,Angola,Wine,Imports, 2 015,1000 hl,1015
Africa,Angola,Wine,Consumption, 2 016,1000 hl,916
Africa,Angola,Wine,Exports, 2 016,1000 hl,23
Africa,Angola,Wine,Imports, 2 016,1000 hl,850
Africa,Angola,Wine,Consumption, 2 017,1000 hl,759
Africa,Angola,Wine,Exports, 2 017,1000 hl,9
Africa,Angola,Wine,Imports, 2 017,1000 hl,1270
Africa,Angola,Wine,Consumption, 2 018,1000 hl,549
Africa,Angola,Wine,Exports, 2 018,1000 hl,9
Africa,Angola,Wine,Imports, 2 018,1000 hl,417
Africa,Angola,Wine,Consumption, 2 019,1000 hl,362
Africa,Angola,Wine,Exports, 2 019,1000 hl,54
Africa,Angola,Wine,Imports, 2 019,1000 hl,353
Africa,Angola,Wine,Consumption, 2 020,1000 hl,317
Africa,Angola,Wine,Exports, 2 020,1000 hl,9
Africa,Angola,Wine,Imports, 2 020,1000 hl,267
Africa,Angola,Wine,Consumption, 2 021,1000 hl,317
Africa,Angola,Wine,Exports, 2 021,1000 hl,12
Africa,Angola,Wine,Imports, 2 021,1000 hl,218
America,Antigua and Barbuda,Wine,Consumption, 2 007,1000 hl,9
America,Antigua and Barbuda,Wine,Exports, 2 007,1000 hl,1
America,Antigua and Barbuda,Wine,Imports, 2 007,1000 hl,10
America,Antigua and Barbuda,Wine,Consumption, 2 008,1000 hl,8
America,Antigua and Barbuda,Wine,Exports, 2 008,1000 hl,1
America,Antigua and Barbuda,Wine,Imports, 2 008,1000 hl,8
America,Antigua and Barbuda,Wine,Consumption, 2 009,1000 hl,7
America,Antigua and Barbuda,Wine,Exports, 2 009,1000 hl,1
America,Antigua and Barbuda,Wine,Imports, 2 009,1000 hl,7
America,Antigua and Barbuda,Wine,Consumption, 2 010,1000 hl,6
America,Antigua and Barbuda,Wine,Exports, 2 010,1000 hl,2
America,Antigua and Barbuda,Wine,Imports, 2 010,1000 hl,8
America,Antigua and Barbuda,Wine,Consumption, 2 011,1000 hl,6
America,Antigua and Barbuda,Wine,Exports, 2 011,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 011,1000 hl,8
America,Antigua and Barbuda,Wine,Consumption, 2 012,1000 hl,11
America,Antigua and Barbuda,Wine,Exports, 2 012,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 012,1000 hl,15
America,Antigua and Barbuda,Wine,Consumption, 2 013,1000 hl,17
America,Antigua and Barbuda,Wine,Exports, 2 013,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 013,1000 hl,19
America,Antigua and Barbuda,Wine,Consumption, 2 014,1000 hl,19
America,Antigua and Barbuda,Wine,Exports, 2 014,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 014,1000 hl,19
America,Antigua and Barbuda,Wine,Consumption, 2 015,1000 hl,16
America,Antigua and Barbuda,Wine,Exports, 2 015,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 015,1000 hl,13
America,Antigua and Barbuda,Wine,Consumption, 2 016,1000 hl,21
America,Antigua and Barbuda,Wine,Exports, 2 016,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 016,1000 hl,28
America,Antigua and Barbuda,Wine,Consumption, 2 017,1000 hl,25
America,Antigua and Barbuda,Wine,Exports, 2 017,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 017,1000 hl,23
America,Antigua and Barbuda,Wine,Consumption, 2 018,1000 hl,24
America,Antigua and Barbuda,Wine,Exports, 2 018,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 018,1000 hl,25
America,Antigua and Barbuda,Wine,Consumption, 2 019,1000 hl,20
America,Antigua and Barbuda,Wine,Exports, 2 019,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 019,1000 hl,15
America,Antigua and Barbuda,Wine,Consumption, 2 020,1000 hl,15
America,Antigua and Barbuda,Wine,Exports, 2 020,1000 hl,0
America,Antigua and Barbuda,Wine,Imports, 2 020,1000 hl,15
America,Antigua and Barbuda,Wine,Consumption, 2 021,1000 hl,15
America,Antigua and Barbuda,Wine,Exports, 2 021,1000 hl,1
America,Antigua and Barbuda,Wine,Imports, 2 021,1000 hl,15
America,Argentina,Wine,Consumption, 2 007,1000 hl,11166
America,Argentina,Wine,Exports, 2 007,1000 hl,3598
America,Argentina,Wine,Imports, 2 007,1000 hl,4
America,Argentina,Wine,Production, 2 007,1000 hl,15046
America,Argentina,Wine,Consumption, 2 008,1000 hl,10677
America,Argentina,Wine,Exports, 2 008,1000 hl,4141
America,Argentina,Wine,Imports, 2 008,1000 hl,4
America,Argentina,Wine,Production, 2 008,1000 hl,14676
America,Argentina,Wine,Consumption, 2 009,1000 hl,10342
America,Argentina,Wine,Exports, 2 009,1000 hl,2830
America,Argentina,Wine,Imports, 2 009,1000 hl,113
America,Argentina,Wine,Production, 2 009,1000 hl,12135
America,Argentina,Wine,Consumption, 2 010,1000 hl,9753
America,Argentina,Wine,Exports, 2 010,1000 hl,2744
America,Argentina,Wine,Imports, 2 010,1000 hl,288
America,Argentina,Wine,Production, 2 010,1000 hl,16250
America,Argentina,Wine,Consumption, 2 011,1000 hl,9809
America,Argentina,Wine,Exports, 2 011,1000 hl,3115
America,Argentina,Wine,Imports, 2 011,1000 hl,74
America,Argentina,Wine,Production, 2 011,1000 hl,15473
America,Argentina,Wine,Consumption, 2 012,1000 hl,10051
America,Argentina,Wine,Exports, 2 012,1000 hl,3656
America,Argentina,Wine,Imports, 2 012,1000 hl,6
America,Argentina,Wine,Production, 2 012,1000 hl,11778
America,Argentina,Wine,Consumption, 2 013,1000 hl,10352
America,Argentina,Wine,Exports, 2 013,1000 hl,3150
America,Argentina,Wine,Imports, 2 013,1000 hl,7
America,Argentina,Wine,Production, 2 013,1000 hl,14984
America,Argentina,Wine,Consumption, 2 014,1000 hl,9938
America,Argentina,Wine,Exports, 2 014,1000 hl,2626
America,Argentina,Wine,Imports, 2 014,1000 hl,3
America,Argentina,Wine,Production, 2 014,1000 hl,15197
America,Argentina,Wine,Consumption, 2 015,1000 hl,10269
America,Argentina,Wine,Exports, 2 015,1000 hl,2675
America,Argentina,Wine,Imports, 2 015,1000 hl,5
America,Argentina,Wine,Production, 2 015,1000 hl,13362
America,Argentina,Wine,Consumption, 2 016,1000 hl,9416
America,Argentina,Wine,Exports, 2 016,1000 hl,2598
America,Argentina,Wine,Imports, 2 016,1000 hl,93
America,Argentina,Wine,Production, 2 016,1000 hl,9447
America,Argentina,Wine,Consumption, 2 017,1000 hl,8925
America,Argentina,Wine,Exports, 2 017,1000 hl,2233
America,Argentina,Wine,Imports, 2 017,1000 hl,810
America,Argentina,Wine,Production, 2 017,1000 hl,11821
America,Argentina,Wine,Consumption, 2 018,1000 hl,8396
America,Argentina,Wine,Exports, 2 018,1000 hl,2754
America,Argentina,Wine,Imports, 2 018,1000 hl,26
America,Argentina,Wine,Production, 2 018,1000 hl,14522
America,Argentina,Wine,Consumption, 2 019,1000 hl,8532
America,Argentina,Wine,Exports, 2 019,1000 hl,3123
America,Argentina,Wine,Imports, 2 019,1000 hl,2
America,Argentina,Wine,Production, 2 019,1000 hl,13019
America,Argentina,Wine,Consumption, 2 020,1000 hl,9430
America,Argentina,Wine,Exports, 2 020,1000 hl,3949
America,Argentina,Wine,Imports, 2 020,1000 hl,3
America,Argentina,Wine,Production, 2 020,1000 hl,10796
America,Argentina,Wine,Consumption, 2 021,1000 hl,8381
America,Argentina,Wine,Exports, 2 021,1000 hl,3345
America,Argentina,Wine,Imports, 2 021,1000 hl,2
America,Argentina,Wine,Production, 2 021,1000 hl,12482
Asia,Armenia,Wine,Consumption, 2 007,1000 hl,36
Asia,Armenia,Wine,Exports, 2 007,1000 hl,9
Asia,Armenia,Wine,Imports, 2 007,1000 hl,2
Asia,Armenia,Wine,Production, 2 007,1000 hl,42
Asia,Armenia,Wine,Consumption, 2 008,1000 hl,35
Asia,Armenia,Wine,Exports, 2 008,1000 hl,5
Asia,Armenia,Wine,Imports, 2 008,1000 hl,2
Asia,Armenia,Wine,Production, 2 008,1000 hl,38
Asia,Armenia,Wine,Consumption, 2 009,1000 hl,43
Asia,Armenia,Wine,Exports, 2 009,1000 hl,5
Asia,Armenia,Wine,Imports, 2 009,1000 hl,1
Asia,Armenia,Wine,Production, 2 009,1000 hl,47
Asia,Armenia,Wine,Consumption, 2 010,1000 hl,47
Asia,Armenia,Wine,Exports, 2 010,1000 hl,9
Asia,Armenia,Wine,Imports, 2 010,1000 hl,5
Asia,Armenia,Wine,Production, 2 010,1000 hl,59
Asia,Armenia,Wine,Consumption, 2 011,1000 hl,61
Asia,Armenia,Wine,Exports, 2 011,1000 hl,7
Asia,Armenia,Wine,Imports, 2 011,1000 hl,6
Asia,Armenia,Wine,Production, 2 011,1000 hl,62
Asia,Armenia,Wine,Consumption, 2 012,1000 hl,49
Asia,Armenia,Wine,Exports, 2 012,1000 hl,12
Asia,Armenia,Wine,Imports, 2 012,1000 hl,4
Asia,Armenia,Wine,Production, 2 012,1000 hl,58
Asia,Armenia,Wine,Consumption, 2 013,1000 hl,54
Asia,Armenia,Wine,Exports, 2 013,1000 hl,14
Asia,Armenia,Wine,Imports, 2 013,1000 hl,4
Asia,Armenia,Wine,Production, 2 013,1000 hl,64
Asia,Armenia,Wine,Consumption, 2 014,1000 hl,42
Asia,Armenia,Wine,Exports, 2 014,1000 hl,21
Asia,Armenia,Wine,Imports, 2 014,1000 hl,3
Asia,Armenia,Wine,Production, 2 014,1000 hl,68
Asia,Armenia,Wine,Consumption, 2 015,1000 hl,43
Asia,Armenia,Wine,Exports, 2 015,1000 hl,14
Asia,Armenia,Wine,Imports, 2 015,1000 hl,4
Asia,Armenia,Wine,Production, 2 015,1000 hl,66
Asia,Armenia,Wine,Consumption, 2 016,1000 hl,59
Asia,Armenia,Wine,Exports, 2 016,1000 hl,18
Asia,Armenia,Wine,Imports, 2 016,1000 hl,3
Asia,Armenia,Wine,Production, 2 016,1000 hl,68
Asia,Armenia,Wine,Consumption, 2 017,1000 hl,74
Asia,Armenia,Wine,Exports, 2 017,1000 hl,27
Asia,Armenia,Wine,Imports, 2 017,1000 hl,5
Asia,Armenia,Wine,Production, 2 017,1000 hl,88
Asia,Armenia,Wine,Consumption, 2 018,1000 hl,65
Asia,Armenia,Wine,Exports, 2 018,1000 hl,25
Asia,Armenia,Wine,Imports, 2 018,1000 hl,4
Asia,Armenia,Wine,Production, 2 018,1000 hl,89
Asia,Armenia,Wine,Consumption, 2 019,1000 hl,86
Asia,Armenia,Wine,Exports, 2 019,1000 hl,28
Asia,Armenia,Wine,Imports, 2 019,1000 hl,5
Asia,Armenia,Wine,Production, 2 019,1000 hl,127
Asia,Armenia,Wine,Consumption, 2 020,1000 hl,98
Asia,Armenia,Wine,Exports, 2 020,1000 hl,25
Asia,Armenia,Wine,Imports, 2 020,1000 hl,7
Asia,Armenia,Wine,Production, 2 020,1000 hl,110
Asia,Armenia,Wine,Consumption, 2 021,1000 hl,98
Asia,Armenia,Wine,Exports, 2 021,1000 hl,31
Asia,Armenia,Wine,Imports, 2 021,1000 hl,6
Asia,Armenia,Wine,Production, 2 021,1000 hl,112
America,Aruba,Wine,Exports, 2 007,1000 hl,1
America,Aruba,Wine,Imports, 2 007,1000 hl,22
America,Aruba,Wine,Exports, 2 008,1000 hl,0
America,Aruba,Wine,Imports, 2 008,1000 hl,26
America,Aruba,Wine,Exports, 2 009,1000 hl,1
America,Aruba,Wine,Imports, 2 009,1000 hl,22
America,Aruba,Wine,Exports, 2 010,1000 hl,1
America,Aruba,Wine,Imports, 2 010,1000 hl,22
America,Aruba,Wine,Exports, 2 011,1000 hl,3
America,Aruba,Wine,Imports, 2 011,1000 hl,30
America,Aruba,Wine,Exports, 2 012,1000 hl,3
America,Aruba,Wine,Imports, 2 012,1000 hl,32
America,Aruba,Wine,Exports, 2 013,1000 hl,4
America,Aruba,Wine,Imports, 2 013,1000 hl,30
America,Aruba,Wine,Exports, 2 014,1000 hl,2
America,Aruba,Wine,Imports, 2 014,1000 hl,32
America,Aruba,Wine,Exports, 2 015,1000 hl,1
America,Aruba,Wine,Imports, 2 015,1000 hl,34
America,Aruba,Wine,Exports, 2 016,1000 hl,0
America,Aruba,Wine,Imports, 2 016,1000 hl,32
America,Aruba,Wine,Exports, 2 017,1000 hl,2
America,Aruba,Wine,Imports, 2 017,1000 hl,34
America,Aruba,Wine,Exports, 2 018,1000 hl,0
America,Aruba,Wine,Imports, 2 018,1000 hl,33
America,Aruba,Wine,Exports, 2 019,1000 hl,0
America,Aruba,Wine,Imports, 2 019,1000 hl,36
America,Aruba,Wine,Exports, 2 020,1000 hl,0
America,Aruba,Wine,Imports, 2 020,1000 hl,21
America,Aruba,Wine,Exports, 2 021,1000 hl,0
America,Aruba,Wine,Imports, 2 021,1000 hl,30
Oceania,Australia,Wine,Consumption, 2 007,1000 hl,4869
Oceania,Australia,Wine,Exports, 2 007,1000 hl,7862
Oceania,Australia,Wine,Imports, 2 007,1000 hl,348
Oceania,Australia,Wine,Production, 2 007,1000 hl,9620
Oceania,Australia,Wine,Consumption, 2 008,1000 hl,5043
Oceania,Australia,Wine,Exports, 2 008,1000 hl,6985
Oceania,Australia,Wine,Imports, 2 008,1000 hl,653
Oceania,Australia,Wine,Production, 2 008,1000 hl,12448
Oceania,Australia,Wine,Consumption, 2 009,1000 hl,5122
Oceania,Australia,Wine,Exports, 2 009,1000 hl,7719
Oceania,Australia,Wine,Imports, 2 009,1000 hl,622
Oceania,Australia,Wine,Production, 2 009,1000 hl,11784
Oceania,Australia,Wine,Consumption, 2 010,1000 hl,5389
Oceania,Australia,Wine,Exports, 2 010,1000 hl,7811
Oceania,Australia,Wine,Imports, 2 010,1000 hl,679
Oceania,Australia,Wine,Production, 2 010,1000 hl,11420
Oceania,Australia,Wine,Consumption, 2 011,1000 hl,5406
Oceania,Australia,Wine,Exports, 2 011,1000 hl,7011
Oceania,Australia,Wine,Imports, 2 011,1000 hl,676
Oceania,Australia,Wine,Production, 2 011,1000 hl,11180
Oceania,Australia,Wine,Consumption, 2 012,1000 hl,5420
Oceania,Australia,Wine,Exports, 2 012,1000 hl,7214
Oceania,Australia,Wine,Imports, 2 012,1000 hl,831
Oceania,Australia,Wine,Production, 2 012,1000 hl,12259
Oceania,Australia,Wine,Consumption, 2 013,1000 hl,5379
Oceania,Australia,Wine,Exports, 2 013,1000 hl,7111
Oceania,Australia,Wine,Imports, 2 013,1000 hl,830
